,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
2086,I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,negative
2087,I,0.485,0.375,0.13,0.5535,0.266,0.112,0.157,negative
2088,I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,negative
2089,I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,negative
2090,I,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,negative
2091,M,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,negative
2092,M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,negative
2093,I,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,negative
2094,I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,negative
2095,I,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,negative
2096,M,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,negative
2097,M,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,negative
2098,F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,negative
2099,I,0.55,0.42,0.13,0.636,0.294,0.144,0.1755,negative
2100,F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,negative
2101,I,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,negative
2102,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,negative
2103,F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,negative
2104,M,0.57,0.45,0.135,1.02,0.546,0.204,0.25,negative
2105,F,0.57,0.43,0.16,0.811,0.3875,0.159,0.2285,negative
2106,F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,negative
2107,M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,negative
2108,F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,negative
2109,M,0.59,0.47,0.15,0.861,0.413,0.164,0.249,negative
2110,M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,negative
2111,F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,negative
2112,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,negative
2113,M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,negative
2114,M,0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,negative
2115,M,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,negative
2116,F,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,negative
2117,F,0.615,0.475,0.17,1.055,0.543,0.246,0.2345,negative
2118,M,0.615,0.45,0.15,1.198,0.707,0.2095,0.2505,negative
2119,F,0.615,0.47,0.155,1.084,0.5885,0.209,0.246,negative
2120,M,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,negative
2121,M,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,negative
2122,F,0.625,0.49,0.155,1.115,0.484,0.277,0.3095,negative
2123,M,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,negative
2124,M,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,negative
2125,M,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,negative
2126,M,0.63,0.465,0.15,1.027,0.537,0.188,0.176,negative
2127,M,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,negative
2128,M,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,negative
2129,F,0.645,0.52,0.18,1.285,0.5775,0.352,0.317,negative
2130,M,0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,negative
2131,F,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,negative
2132,M,0.65,0.51,0.155,1.407,0.7215,0.298,0.335,negative
2133,F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,negative
2134,M,0.66,0.515,0.165,1.4465,0.694,0.298,0.3755,negative
2135,F,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,negative
2136,M,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,negative
2137,M,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,negative
2138,F,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,negative
2139,M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,negative
2140,M,0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,negative
2141,M,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,negative
2142,M,0.7,0.55,0.2,1.523,0.693,0.306,0.4405,negative
2143,F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,negative
2144,M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,negative
2145,F,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,negative
2146,M,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,negative
2147,I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,negative
2148,I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,negative
2149,I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,negative
2150,I,0.335,0.25,0.08,0.167,0.0675,0.0325,0.0575,negative
2151,I,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,negative
2152,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,negative
2153,I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,negative
2154,I,0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,negative
2155,I,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,negative
2156,I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,negative
2157,I,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,negative
2158,I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,negative
2159,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,negative
2160,I,0.405,0.305,0.1,0.268,0.1145,0.053,0.085,negative
2161,I,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765,negative
2162,I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,negative
2163,I,0.415,0.335,0.1,0.358,0.169,0.067,0.105,negative
2164,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,negative
2165,I,0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,negative
2166,I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,negative
2167,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,negative
2168,I,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,negative
2169,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,negative
2170,I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,negative
2171,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,negative
2172,I,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,negative
2173,M,0.48,0.375,0.12,0.5895,0.2535,0.128,0.172,negative
2174,I,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,negative
2175,I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,negative
2176,I,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,negative
2177,I,0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,negative
2178,I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,negative
2179,F,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,negative
2180,M,0.515,0.41,0.14,0.7355,0.3065,0.137,0.2,negative
2181,I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,negative
2182,I,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,negative
2183,F,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,negative
2184,I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,negative
2185,M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,negative
2186,F,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,negative
2187,I,0.55,0.43,0.145,0.712,0.3025,0.152,0.225,negative
2188,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,negative
2189,I,0.555,0.435,0.145,0.6975,0.262,0.1575,0.24,negative
2190,F,0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,negative
2191,I,0.56,0.44,0.14,0.825,0.402,0.139,0.245,negative
2192,I,0.56,0.435,0.135,0.72,0.329,0.103,0.251,negative
2193,I,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,negative
2194,F,0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,negative
2195,M,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,negative
2196,F,0.58,0.465,0.145,0.9865,0.47,0.2155,0.25,negative
2197,F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,negative
2198,I,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,negative
2199,M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,negative
2200,I,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,negative
2201,F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,negative
2202,M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,negative
2203,M,0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,negative
2204,M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,negative
2205,M,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,negative
2206,M,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,negative
2207,M,0.61,0.48,0.185,1.3065,0.6895,0.2915,0.29,negative
2208,F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,negative
2209,F,0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,negative
2210,F,0.62,0.465,0.14,1.1605,0.6005,0.2195,0.307,negative
2211,F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,negative
2212,M,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,negative
2213,M,0.63,0.505,0.175,1.221,0.555,0.252,0.34,negative
2214,M,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,negative
2215,M,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,negative
2216,M,0.64,0.505,0.155,1.1955,0.5565,0.211,0.346,negative
2217,M,0.64,0.495,0.17,1.139,0.5395,0.282,0.285,negative
2218,F,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,negative
2219,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,negative
2220,M,0.65,0.52,0.155,1.368,0.6185,0.288,0.365,negative
2221,M,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,negative
2222,F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,negative
2223,F,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,negative
2224,M,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,negative
2225,F,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,negative
2226,M,0.71,0.565,0.2,1.601,0.706,0.321,0.45,negative
2227,M,0.72,0.55,0.205,2.165,1.1055,0.525,0.404,negative
2228,M,0.725,0.57,0.19,2.3305,1.253,0.541,0.52,negative
2229,I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,negative
2230,I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,negative
2231,I,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,negative
2232,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,negative
2233,I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,negative
2234,I,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,negative
2235,I,0.36,0.27,0.09,0.232,0.12,0.0435,0.056,negative
2236,I,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,negative
2237,I,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,negative
2238,I,0.45,0.335,0.105,0.362,0.1575,0.0795,0.1095,negative
2239,I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,negative
2240,I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,negative
2241,M,0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,negative
2242,I,0.5,0.375,0.12,0.529,0.2235,0.123,0.16,negative
2243,M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,negative
2244,I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,negative
2245,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,negative
2246,F,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,negative
2247,F,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,negative
2248,F,0.57,0.425,0.13,0.782,0.3695,0.1745,0.1965,negative
2249,M,0.57,0.42,0.14,0.8745,0.416,0.165,0.25,negative
2250,M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,negative
2251,F,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,negative
2252,M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,negative
2253,M,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,negative
2254,M,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,negative
2255,M,0.6,0.45,0.16,1.142,0.539,0.225,0.307,negative
2256,M,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,negative
2257,F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,negative
2258,M,0.625,0.475,0.175,1.3405,0.656,0.283,0.337,negative
2259,M,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,negative
2260,F,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,negative
2261,M,0.63,0.485,0.16,1.243,0.623,0.275,0.3,negative
2262,F,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,negative
2263,F,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,negative
2264,F,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,negative
2265,F,0.655,0.515,0.155,1.309,0.524,0.346,0.385,negative
2266,F,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,negative
2267,M,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,negative
2268,M,0.695,0.54,0.195,1.691,0.768,0.363,0.4755,negative
2269,F,0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,negative
2270,F,0.72,0.55,0.18,1.52,0.637,0.325,0.435,negative
2271,M,0.735,0.57,0.21,2.2355,1.1705,0.463,0.5315,negative
2272,M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,negative
2273,I,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,negative
2274,I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,negative
2275,I,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,negative
2276,I,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,negative
2277,I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,negative
2278,I,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,negative
2279,I,0.4,0.315,0.09,0.3245,0.151,0.073,0.088,negative
2280,I,0.435,0.335,0.095,0.298,0.109,0.058,0.115,negative
2281,I,0.46,0.36,0.14,0.447,0.161,0.087,0.16,negative
2282,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,negative
2283,I,0.47,0.385,0.13,0.587,0.264,0.117,0.174,negative
2284,I,0.475,0.375,0.11,0.494,0.211,0.109,0.1545,negative
2285,I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,negative
2286,I,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,negative
2287,I,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,negative
2288,I,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,negative
2289,I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,negative
2290,M,0.505,0.365,0.115,0.521,0.25,0.096,0.15,negative
2291,I,0.51,0.4,0.145,0.5775,0.231,0.143,0.177,negative
2292,I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,negative
2293,M,0.52,0.465,0.15,0.9505,0.456,0.199,0.255,negative
2294,F,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,negative
2295,I,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,negative
2296,I,0.545,0.43,0.15,0.742,0.3525,0.158,0.208,negative
2297,I,0.55,0.435,0.165,0.804,0.34,0.194,0.244,negative
2298,I,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,negative
2299,I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,negative
2300,I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,negative
2301,F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,negative
2302,I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,negative
2303,M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,negative
2304,M,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,negative
2305,M,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,negative
2306,F,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,negative
2307,F,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,negative
2308,M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,negative
2309,F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,negative
2310,I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,negative
2311,I,0.59,0.46,0.125,0.755,0.334,0.15,0.238,negative
2312,I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,negative
2313,M,0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,negative
2314,M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,negative
2315,I,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,negative
2316,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,negative
2317,F,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,negative
2318,M,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,negative
2319,M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,negative
2320,I,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,negative
2321,I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,negative
2322,M,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,negative
2323,F,0.615,0.475,0.175,1.194,0.559,0.259,0.3165,negative
2324,F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,negative
2325,F,0.615,0.495,0.165,1.198,0.5415,0.2865,0.3185,negative
2326,F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,negative
2327,M,0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,negative
2328,M,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,negative
2329,F,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,negative
2330,F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,negative
2331,M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,negative
2332,F,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,negative
2333,M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,negative
2334,F,0.63,0.485,0.185,1.167,0.548,0.2485,0.34,negative
2335,M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,negative
2336,M,0.635,0.485,0.18,1.1795,0.4785,0.2775,0.355,negative
2337,F,0.635,0.5,0.19,1.29,0.593,0.3045,0.352,negative
2338,M,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,negative
2339,M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,negative
2340,F,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,negative
2341,M,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,negative
2342,M,0.65,0.52,0.195,1.676,0.693,0.44,0.47,negative
2343,F,0.65,0.565,0.2,1.6645,0.753,0.367,0.43,negative
2344,F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,negative
2345,F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,negative
2346,I,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,negative
2347,F,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,negative
2348,M,0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425,negative
2349,M,0.68,0.515,0.16,1.2345,0.618,0.2625,0.325,negative
2350,F,0.68,0.505,0.17,1.3435,0.657,0.297,0.355,negative
2351,M,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,negative
2352,M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,negative
2353,M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,negative
2354,M,0.735,0.59,0.205,2.087,0.909,0.474,0.625,negative
2355,M,0.745,0.575,0.2,1.884,0.954,0.336,0.495,negative
2356,I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,negative
2357,I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,negative
2358,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,negative
2359,I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,negative
2360,F,0.51,0.37,0.21,1.183,0.508,0.292,0.343,negative
2361,F,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,negative
2362,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,negative
2363,I,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,negative
2364,M,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,negative
2365,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,negative
2366,M,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,negative
2367,F,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,negative
2368,I,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,negative
2369,F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,negative
2370,M,0.61,0.475,0.175,1.024,0.409,0.261,0.322,negative
2371,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,negative
2372,F,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,negative
2373,F,0.635,0.51,0.17,1.2235,0.532,0.271,0.354,negative
2374,F,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,negative
2375,M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,negative
2376,M,0.645,0.505,0.185,1.463,0.592,0.3905,0.416,negative
2377,F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,negative
2378,F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,negative
2379,M,0.68,0.54,0.21,1.7885,0.8345,0.408,0.437,negative
2380,M,0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,negative
2381,M,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,negative
2382,I,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,negative
2383,I,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,negative
2384,I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,negative
2385,I,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,negative
2386,I,0.435,0.325,0.105,0.335,0.136,0.065,0.115,negative
2387,I,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,negative
2388,I,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,negative
2389,I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,negative
2390,I,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,negative
2391,I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,negative
2392,I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,negative
2393,I,0.475,0.375,0.11,0.456,0.182,0.099,0.16,negative
2394,I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,negative
2395,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,negative
2396,I,0.515,0.385,0.125,0.572,0.237,0.1435,0.165,negative
2397,I,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,negative
2398,I,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,negative
2399,I,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,negative
2400,M,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,negative
2401,I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,negative
2402,I,0.55,0.445,0.145,0.783,0.3045,0.157,0.265,negative
2403,M,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,negative
2404,I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,negative
2405,F,0.57,0.47,0.14,0.871,0.385,0.211,0.2315,negative
2406,M,0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,negative
2407,I,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,negative
2408,M,0.575,0.445,0.14,0.737,0.325,0.1405,0.237,negative
2409,I,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,negative
2410,F,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,negative
2411,M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,negative
2412,M,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,negative
2413,I,0.59,0.47,0.145,0.974,0.453,0.236,0.289,negative
2414,M,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,negative
2415,M,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,negative
2416,F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,negative
2417,F,0.6,0.45,0.14,0.869,0.3425,0.195,0.291,negative
2418,M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,negative
2419,F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,negative
2420,M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,negative
2421,M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,negative
2422,F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,negative
2423,M,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,negative
2424,M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,negative
2425,F,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,negative
2426,F,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,negative
2427,M,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,negative
2428,F,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355,negative
2429,M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,negative
2430,M,0.65,0.51,0.175,1.3165,0.6345,0.2605,0.364,negative
2431,M,0.655,0.54,0.165,1.403,0.6955,0.2385,0.42,negative
2432,F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,negative
2433,F,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415,negative
2434,F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,negative
2435,M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,negative
2436,F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,negative
2437,F,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,negative
2438,M,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,negative
2439,F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,negative
2440,F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,negative
2441,M,0.71,0.56,0.175,1.724,0.566,0.4575,0.4625,negative
2442,F,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,negative
2443,F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,negative
2444,I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,negative
2445,I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,negative
2446,I,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,negative
2447,I,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,negative
2448,I,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,negative
2449,I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,negative
2450,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,negative
2451,M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,negative
2452,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,negative
2453,M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,negative
2454,M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,negative
